,tmp0,tmp1,hPa,hum,pp
0,39.89,51.48,1092.0,0.93,0.0
1,7.2,7.01,936.0,0.57,0.0
2,18.55,20.12,981.0,0.66,0.0
3,16.77,16.77,1053.0,0.61,0.0
4,41.3,35.17,1018.0,0.14,0.0
5,9.52,6.88,1002.0,0.11,0.0
6,8.41,8.98,1079.0,0.33,0.0
7,37.01,33.32,1086.0,0.76,0.0
8,36.14,25.51,1088.0,0.08,0.0
9,14.86,14.12,930.0,0.95,1861.0
10,7.33,6.12,1023.0,0.92,2073.0
11,25.8,32.75,990.0,0.68,0.0
12,11.97,9.5,931.0,0.62,0.0
13,16.99,17.79,1050.0,0.62,0.0
14,6.29,6.55,1005.0,0.87,0.0
15,13.91,10.73,1105.0,0.73,0.0
16,27.13,25.42,979.0,0.73,0.0
17,29.98,32.41,1043.0,0.39,0.0
18,31.48,32.92,924.0,0.2,0.0
19,19.21,20.34,1105.0,0.1,0.0
20,41.85,29.55,978.0,0.81,758.0
21,2.73,3.01,922.0,0.73,0.0
22,32.4,32.67,1010.0,0.0,0.0
23,20.63,17.14,913.0,0.32,0.0
24,23.23,27.44,921.0,0.58,0.0
25,16.65,13.27,1028.0,0.4,0.0
26,43.53,52.53,1088.0,0.04,0.0
27,39.89,44.69,1031.0,0.94,0.0
28,20.56,24.26,1031.0,0.97,0.0
29,20.99,25.69,1029.0,0.27,0.0
30,27.41,29.21,1018.0,0.42,0.0
31,40.87,50.72,1014.0,0.14,0.0
32,4.64,5.04,1059.0,0.22,0.0
33,43.64,46.74,1052.0,0.59,0.0
34,36.65,43.33,942.0,0.88,0.0
35,36.64,36.24,917.0,0.64,0.0
36,39.22,45.72,1035.0,0.79,0.0
37,11.49,8.57,1002.0,0.13,0.0
38,29.82,34.65,1068.0,0.95,0.0
39,33.69,41.08,959.0,0.48,0.0
40,26.91,26.33,949.0,0.3,0.0
41,45.07,52.79,1047.0,0.56,0.0
42,30.31,33.88,1025.0,0.74,0.0
43,15.78,15.5,1105.0,0.73,0.0
44,25.5,30.98,1022.0,0.52,0.0
45,40.61,42.86,1093.0,0.38,0.0
46,23.44,25.67,912.0,0.59,0.0
47,42.51,33.98,1044.0,0.03,0.0
